Designator,Mid X,Mid Y,Rotation,Layer
C1,195.8,-73.38,90.0,top
C10,194.6,-83.78,270.0,top
C11,193.9,-72.68,90.0,top
C12,191.5,-71.8,90.0,top
C13,189.82,-66.7,180.0,top
C14,187.52,-57.5,180.0,top
C15,187.0,-85.98,270.0,top
C16,192.2,-86.88,90.0,top
C17,185.92,-79.5,180.0,top
C2,196.72,-74.8,0.0,top
C3,187.1,-74.38,90.0,top
C4,195.3,-68.4,90.0,top
C5,187.07,-64.1375,180.0,top
C6,197.9,-79.7,0.0,top
C7,193.6,-84.48,270.0,top
C8,197.32,-73.6,0.0,top
C9,194.3,-69.12,90.0,top
D1,185.1,-52.5875,90.0,top
J1,191.45,-51.755,180.0,top
J2,182.61,-74.9,0.0,bottom
J3,200.39,-74.9,0.0,bottom
J4,191.56,-98.5,270.0,top
R1,193.8,-59.31,270.0,top
R2,189.6,-57.99,270.0,top
R3,192.1,-69.41,270.0,top
R4,193.1,-69.41,270.0,top
R5,192.2,-85.0,90.0,top
R6,187.69,-66.7,0.0,top
R7,193.3,-90.5,270.0,top
SW1,189.8,-90.4,0.0,top
U1,191.34,-78.49,90.0,top
U2,187.1,-61.0,270.0,top
U3,188.775,-68.55,0.0,top
Y1,189.6,-85.85,180.0,top
